id;lastname;firstname;style
1;aux environs de;secouriste;de façon à hystérique
2;réagir sous séculaire;de façon que vu que;à peu près badaboum
3;paf;admirablement;à bas de proche de comme
4;circulaire tsoin-tsoin;quoique adepte vorace;respecter
5;quoique envers;collègue en faveur de jusqu’à ce que;du fait que
6;sombre vétuste;placide triathlète;pin-pon cadre délégation
7;plancher;quant à parlementaire;triangulaire soumettre même si
8;groin groin;pour que à travers;vouh afin que insuffisamment
9;tchou tchouu;croâ prout;avant que chef de cuisine
10;très;premièrement parmi;parce que ha
